profile,sub-profile,tools,ne_yapar,islem,salt_okunur,token,kaynak_kok,domain,operasyon,http,path,apple_aciklama
access,beta-testers,apps__beta_testers__remove,uygulama → beta testçisi · çıkar,çıkar,HAYIR,56,apps,apps,apps.beta_testers.remove,DELETE,/v1/apps/{id}/relationships/betaTesters,Unlink beta testers from an app.
access,beta-groups,beta_groups__beta_recruitment_criteria__get,beta grubu → testçi bulma kriteri · getir,getir,EVET,66,beta_groups,testflight,beta_groups.beta_recruitment_criteria.get,GET,/v1/betaGroups/{id}/betaRecruitmentCriteria,Read the beta recruitment criteria for a beta group.
access,beta-groups,beta_groups__beta_recruitment_criterion_compatible_build_check__get,beta grubu → beta recruitment criterion compatible build check · getir,getir,EVET,78,beta_groups,testflight,beta_groups.beta_recruitment_criterion_compatible_build_check.get,GET,/v1/betaGroups/{id}/betaRecruitmentCriterionCompatibleBuildCheck,Read the beta recruitment criterion compatible build check for a beta group.
access,beta-groups,beta_groups__beta_tester_usages__metrics,beta grubu → testçi kullanımı · ölçüm getir,ölçüm getir,EVET,190,beta_groups,testflight,beta_groups.beta_tester_usages.metrics,GET,/v1/betaGroups/{id}/metrics/betaTesterUsages,"Read beta tester usages metrics for a beta group. Returns aggregated time-series data, not individual records."
access,beta-groups,beta_groups__beta_testers__add,beta grubu → beta testçisi · ekle,ekle,HAYIR,61,beta_groups,testflight,beta_groups.beta_testers.add,POST,/v1/betaGroups/{id}/relationships/betaTesters,Add existing beta testers to a TestFlight group.
access,beta-groups,beta_groups__beta_testers__list,beta grubu → beta testçisi · listele,listele,EVET,80,beta_groups,testflight,beta_groups.beta_testers.list,GET,/v1/betaGroups/{id}/betaTesters,List the beta testers belonging to a beta group.
access,beta-groups,beta_groups__beta_testers__remove,beta grubu → beta testçisi · çıkar,çıkar,HAYIR,60,beta_groups,testflight,beta_groups.beta_testers.remove,DELETE,/v1/betaGroups/{id}/relationships/betaTesters,Unlink beta testers from a beta group.
access,beta-groups,beta_groups__builds__add,beta grubu → build · ekle,ekle,HAYIR,67,beta_groups,testflight,beta_groups.builds.add,POST,/v1/betaGroups/{id}/relationships/builds,Distribute a build to a TestFlight beta group so its testers can install it.
access,beta-groups,beta_groups__builds__list,beta grubu → build · listele,listele,EVET,77,beta_groups,testflight,beta_groups.builds.list,GET,/v1/betaGroups/{id}/builds,List the builds belonging to a beta group.
access,beta-groups,beta_groups__builds__remove,beta grubu → build · çıkar,çıkar,HAYIR,57,beta_groups,testflight,beta_groups.builds.remove,DELETE,/v1/betaGroups/{id}/relationships/builds,Unlink builds from a beta group.
access,beta-groups,beta_groups__create,beta grubu · oluştur,oluştur,HAYIR,74,beta_groups,testflight,beta_groups.create,POST,/v1/betaGroups,Create a TestFlight beta group. Internal groups are limited to team members; external groups require beta review.
access,beta-groups,beta_groups__delete,beta grubu · sil,sil,HAYIR,52,beta_groups,testflight,beta_groups.delete,DELETE,/v1/betaGroups/{id},Delete a beta group.
access,beta-groups,beta_groups__get,beta grubu · getir,getir,EVET,93,beta_groups,testflight,beta_groups.get,GET,/v1/betaGroups/{id},Read one beta group by ID.
access,beta-groups,beta_groups__list,beta grubu · listele,listele,EVET,362,beta_groups,testflight,beta_groups.list,GET,/v1/betaGroups,List beta groups.
access,beta-groups,beta_groups__public_link_usages__metrics,beta grubu → genel bağlantı kullanımı · ölçüm getir,ölçüm getir,EVET,102,beta_groups,testflight,beta_groups.public_link_usages.metrics,GET,/v1/betaGroups/{id}/metrics/publicLinkUsages,"Read public link usages metrics for a beta group. Returns aggregated time-series data, not individual records."
access,beta-groups,beta_groups__update,beta grubu · güncelle,güncelle,HAYIR,52,beta_groups,testflight,beta_groups.update,PATCH,/v1/betaGroups/{id},Update a beta group.
access,beta-groups,beta_recruitment_criteria__create,testçi bulma kriteri · oluştur,oluştur,HAYIR,58,beta_recruitment_criteria,testflight,beta_recruitment_criteria.create,POST,/v1/betaRecruitmentCriteria,Create a beta recruitment criteria.
access,beta-groups,beta_recruitment_criteria__delete,testçi bulma kriteri · sil,sil,HAYIR,59,beta_recruitment_criteria,testflight,beta_recruitment_criteria.delete,DELETE,/v1/betaRecruitmentCriteria/{id},Delete a beta recruitment criteria.
access,beta-groups,beta_recruitment_criteria__update,testçi bulma kriteri · güncelle,güncelle,HAYIR,59,beta_recruitment_criteria,testflight,beta_recruitment_criteria.update,PATCH,/v1/betaRecruitmentCriteria/{id},Update a beta recruitment criteria.
access,beta-groups,beta_recruitment_criterion_options__list,beta recruitment criterion options · listele,listele,EVET,80,beta_recruitment_criterion_options,testflight,beta_recruitment_criterion_options.list,GET,/v1/betaRecruitmentCriterionOptions,List beta recruitment criterion options.
access,beta-testers,beta_tester_invitations__create,testçi daveti · oluştur,oluştur,HAYIR,68,beta_tester_invitations,testflight,beta_tester_invitations.create,POST,/v1/betaTesterInvitations,Re-send a TestFlight invitation email to a tester who has not accepted yet.
access,beta-testers,beta_testers__apps__list,beta testçisi → uygulama · listele,listele,EVET,77,beta_testers,testflight,beta_testers.apps.list,GET,/v1/betaTesters/{id}/apps,List the apps belonging to a beta tester.
access,beta-testers,beta_testers__apps__remove,beta testçisi → uygulama · çıkar,çıkar,HAYIR,56,beta_testers,testflight,beta_testers.apps.remove,DELETE,/v1/betaTesters/{id}/relationships/apps,Unlink apps from a beta tester.
access,beta-testers,beta_testers__beta_groups__add,beta testçisi → beta grubu · ekle,ekle,HAYIR,58,beta_testers,testflight,beta_testers.beta_groups.add,POST,/v1/betaTesters/{id}/relationships/betaGroups,Link beta groups to a beta tester.
access,beta-testers,beta_testers__beta_groups__list,beta testçisi → beta grubu · listele,listele,EVET,80,beta_testers,testflight,beta_testers.beta_groups.list,GET,/v1/betaTesters/{id}/betaGroups,List the beta groups belonging to a beta tester.
access,beta-testers,beta_testers__beta_groups__remove,beta testçisi → beta grubu · çıkar,çıkar,HAYIR,60,beta_testers,testflight,beta_testers.beta_groups.remove,DELETE,/v1/betaTesters/{id}/relationships/betaGroups,Unlink beta groups from a beta tester.
access,beta-testers,beta_testers__beta_tester_usages__metrics,beta testçisi → testçi kullanımı · ölçüm getir,ölçüm getir,EVET,162,beta_testers,testflight,beta_testers.beta_tester_usages.metrics,GET,/v1/betaTesters/{id}/metrics/betaTesterUsages,"Read beta tester usages metrics for a beta tester. Returns aggregated time-series data, not individual records."
access,beta-testers,beta_testers__builds__add,beta testçisi → build · ekle,ekle,HAYIR,55,beta_testers,testflight,beta_testers.builds.add,POST,/v1/betaTesters/{id}/relationships/builds,Link builds to a beta tester.
access,beta-testers,beta_testers__builds__list,beta testçisi → build · listele,listele,EVET,78,beta_testers,testflight,beta_testers.builds.list,GET,/v1/betaTesters/{id}/builds,List the builds belonging to a beta tester.
access,beta-testers,beta_testers__builds__remove,beta testçisi → build · çıkar,çıkar,HAYIR,57,beta_testers,testflight,beta_testers.builds.remove,DELETE,/v1/betaTesters/{id}/relationships/builds,Unlink builds from a beta tester.
access,beta-testers,beta_testers__create,beta testçisi · oluştur,oluştur,HAYIR,66,beta_testers,testflight,beta_testers.create,POST,/v1/betaTesters,Invite a new TestFlight tester by email and add them to one or more beta groups.
access,beta-testers,beta_testers__delete,beta testçisi · sil,sil,HAYIR,52,beta_testers,testflight,beta_testers.delete,DELETE,/v1/betaTesters/{id},Delete a beta tester.
